bairro,zona,regiao_adm,lat,lon,populacao,populacao_2010,fator_demanda
Centro,Centro,Centro,-22.90655,-43.17869,23642,29555,9.5
Cidade Nova,Centro,Rio Comprido,-22.9101,-43.20151,4745,5466,1.0
Cidade Universitaria,Norte,Ilha Do Governador,-22.85397,-43.22836,1303,1556,1.0
Cidade de Deus,Barra,Cidade De Deus,-22.9481,-43.36286,30576,36515,1.0
Cocota,Norte,Ilha Do Governador,-22.80434,-43.18062,5021,4877,1.0
Coelho Neto,Norte,Pavuna,-22.83212,-43.35055,26780,32423,1.0
Colegio,Norte,Iraja,-22.83938,-43.33616,26840,29245,1.0
Complexo do Alemao,Norte,Complexo Do Alemao,-22.86136,-43.27368,54202,69143,1.0
Copacabana,Sul,Copacabana,-22.97062,-43.18748,128919,146392,1.0
Cordovil,Norte,Vigario Geral,-22.81907,-43.29286,34668,45202,1.0
Cosme Velho,Sul,Botafogo,-22.94152,-43.20062,6408,7178,1.0
Cosmos,Oeste,Campo Grande,-22.90812,-43.61294,95484,77007,1.0
Costa Barros,Norte,Pavuna,-22.82501,-43.37011,26272,28442,1.0
Curicica,Barra,Jacarepagua,-22.95231,-43.38725,29109,31189,1.0
Del Castilho,Norte,Inhauma,-22.87976,-43.27225,20597,15610,1.0
Deodoro,Oeste,Realengo,-22.85148,-43.38639,10402,10842,1.0
Encantado,Norte,Meier,-22.89699,-43.30423,12405,15021,1.0
Engenheiro Leal,Norte,Madureira,-22.87453,-43.3255,5200,6113,1.0
Engenho Novo,Norte,Meier,-22.90904,-43.26857,39424,42172,1.0
Engenho da Rainha,Norte,Inhauma,-22.86303,-43.29429,24188,26659,1.0
Engenho de Dentro,Norte,Meier,-22.9024,-43.29616,43175,45540,1.0
Estacio,Centro,Rio Comprido,-22.91686,-43.2044,23260,17189,1.0
Flamengo,Sul,Botafogo,-22.93467,-43.17423,43099,50043,1.0
Freguesia (Ilha),Norte,Ilha Do Governador,-22.78575,-43.17016,15900,19437,1.0
Freguesia (Jacarepagua),Barra,Jacarepagua,-22.93216,-43.33896,74803,70511,1.0
Galeao,Norte,Ilha Do Governador,-22.8078,-43.23647,20816,22971,1.0
Gamboa,Centro,Portuaria,-22.89754,-43.19291,11416,13108,1.0
Gardenia Azul,Barra,Jacarepagua,-22.95871,-43.35103,20490,17715,1.0
Gavea,Sul,Lagoa,-22.97991,-43.23895,14176,16003,1.0
Gericino,Oeste,Bangu,-22.84311,-43.47865,20690,15167,1.0
Gloria,Sul,Botafogo,-22.91909,-43.17331,7120,9661,1.0
Grajau,Norte,Vila Isabel,-22.92934,-43.27011,32816,38671,1.0
Grumari,Barra,Barra Da Tijuca,-23.04643,-43.53149,184,167,1.0
Guadalupe,Norte,Anchieta,-22.83893,-43.37549,41088,47144,1.0
Guaratiba,Oeste,Guaratiba,-22.99221,-43.58942,154125,107369,1.0
Higienopolis,Norte,Inhauma,-22.87379,-43.26179,14227,15734,1.0
Honorio Gurgel,Norte,Madureira,-22.84726,-43.35653,18213,21989,1.0
Humaita,Sul,Botafogo,-22.95491,-43.20104,13044,13285,1.0
Ilha de Guaratiba,Oeste,Guaratiba,-22.99665,-43.56218,6099,3580,1.0
Inhauma,Norte,Inhauma,-22.87192,-43.28193,37233,45698,1.0
Inhoaiba,Oeste,Campo Grande,-22.91157,-43.59395,72141,64649,1.0
Ipanema,Sul,Lagoa,-22.98411,-43.20313,37392,42743,1.0
Iraja,Norte,Iraja,-22.83501,-43.32606,85906,96382,1.0
Itanhanga,Barra,Barra Da Tijuca,-22.98593,-43.31005,67969,38415,1.0
Jabour,Oeste,Bangu,-22.88092,-43.4933,5287,5346,1.0
Jacare,Norte,Meier,-22.89288,-43.25729,8198,9276,1.0
Jacarepagua,Barra,Jacarepagua,-22.93735,-43.42548,175943,143440,1.0
Jacarezinho,Norte,Jacarezinho,-22.88749,-43.25774,35348,37839,1.0
Jardim America,Norte,Vigario Geral,-22.81012,-43.32336,20687,25226,1.0
Jardim Botanico,Sul,Lagoa,-22.96454,-43.22425,15871,18009,1.0
Jardim Carioca,Norte,Ilha Do Governador,-22.80567,-43.19307,20374,24848,1.0
Jardim Guanabara,Norte,Ilha Do Governador,-22.81291,-43.20222,27084,32213,1.0
Jardim Sulacap,Oeste,Realengo,-22.89589,-43.39405,14396,13062,1.0
Joa,Barra,Barra Da Tijuca,-23.00787,-43.28713,983,818,1.0
Lagoa,Sul,Lagoa,-22.97111,-43.20918,18676,21198,1.0
Lapa,Centro,Centro,-22.91331,-43.18111,9116,11587,1.0
Laranjeiras,Sul,Botafogo,-22.93537,-43.1886,39692,45554,1.0
Leblon,Sul,Lagoa,-22.98373,-43.22521,37709,46044,1.0
Leme,Sul,Copacabana,-22.96204,-43.16723,12479,14799,1.0
